YHL034C	SBP1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR052W	CIC1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR062C	RPP1	ORF	Verified	GO:0005655	nucleolar ribonuclease P complex	cellular_component	part of	manually curated
YHR062C	RPP1	ORF	Verified	GO:0005655	nucleolar ribonuclease P complex	cellular_component	part of	manually curated
YHR065C	RRP3	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR066W	SSF1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR088W	RPF1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR089C	GAR1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR089C	GAR1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR089C	GAR1	ORF	Verified	GO:0031429	box H/ACA snoRNP complex	cellular_component	part of	manually curated
YHR143W-A	RPC10	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YHR143W-A	RPC10	ORF	Verified	GO:0005736	RNA polymerase I complex	cellular_component	part of	manually curated
YHR143W-A	RPC10	ORF	Verified	GO:0005736	RNA polymerase I complex	cellular_component	part of	manually curated
YHR148W	IMP3	ORF	Verified	GO:0034457	Mpp10 complex	cellular_component	part of	manually curated
YHR152W	SPO12	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR169W	DBP8	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR196W	UTP9	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YHR196W	UTP9	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR196W	UTP9	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YHR196W	UTP9	ORF	Verified	GO:0034455	t-UTP complex	cellular_component	part of	manually curated
YIL019W	FAF1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YIL019W	FAF1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YIL035C	CKA1	ORF	Verified	GO:0034456	UTP-C complex	cellular_component	part of	manually curated
YIL079C	AIR1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YIL091C	UTP25	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YIL091C	UTP25	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YIL091C	UTP25	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YIL096C	BMT5	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YIL096C	BMT5	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YIL127C	RRT14	ORF	Uncharacterized	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YIR015W	RPR2	ORF	Verified	GO:0005655	nucleolar ribonuclease P complex	cellular_component	part of	manually curated
YIR015W	RPR2	ORF	Verified	GO:0005655	nucleolar ribonuclease P complex	cellular_component	part of	manually curated
YKL009W	MRT4	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YKL009W	MRT4	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL009W	MRT4	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL014C	URB1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YKL014C	URB1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YKL014C	URB1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL078W	DHR2	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL082C	RRP14	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL082C	RRP14	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL099C	UTP11	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL125W	RRN3	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL139W	CTK1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKL172W	EBP2	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKR010C	TOF2	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKR024C	DBP7	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKR060W	UTP30	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YKR060W	UTP30	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKR063C	LAS1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKR081C	RPF2	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YKR092C	SRP40	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YFL002C	SPB4	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	high-throughput
YFL002C	SPB4	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YFR001W	LOC1	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YFR028C	CDC14	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YFR028C	CDC14	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YFR028C	CDC14	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
YFR028C	CDC14	ORF	Verified	GO:0005730	nucleolus	cellular_component	part of	manually curated
