S000002220	YDL062W	S. cerevisiae	""	""
S000002226	YDL068W	S. cerevisiae	""	""
S000002229	YDL071C	S. cerevisiae	""	""
S000002252	YDL094C	S. cerevisiae	""	""
S000002254	YDL096C	S. cerevisiae	OPI6	OverProducer of Inositol
S000002276	YDL118W	S. cerevisiae	""	""
S000002310	YDL151C	S. cerevisiae	BUD30	BUD site selection
S000002311	YDL152W	S. cerevisiae	""	""
S000002317	YDL158C	S. cerevisiae	""	""
S000002321	YDL162C	S. cerevisiae	""	""
S000002322	YDL163W	S. cerevisiae	""	""
S000002331	YDL172C	S. cerevisiae	""	""
S000002346	YDL187C	S. cerevisiae	""	""
S000002355	YDL196W	S. cerevisiae	""	""
S000002380	YDL221W	S. cerevisiae	""	""
S000002387	YDL228C	S. cerevisiae	""	""
S000002415	YDR008C	S. cerevisiae	""	""
S000002422	YDR015C	S. cerevisiae	""	""
S000002431	YDR024W	S. cerevisiae	FYV1	Function required for Yeast Viability
S000002455	YDR048C	S. cerevisiae	""	""
S000002460	YDR053W	S. cerevisiae	""	""
S000002501	YDR094W	S. cerevisiae	""	""
S000002502	YDR095C	S. cerevisiae	""	""
S000002519	YDR112W	S. cerevisiae	IRC2	Increased Recombination Centers
S000002540	YDR133C	S. cerevisiae	""	""
S000002543	YDR136C	S. cerevisiae	VPS61	Vacuolar Protein Sorting
S000002556	YDR149C	S. cerevisiae	""	""
S000002561	YDR154C	S. cerevisiae	""	""
S000002595	YDR187C	S. cerevisiae	""	""
S000002601	YDR193W	S. cerevisiae	""	""
S000002607	YDR199W	S. cerevisiae	""	""
S000002611	YDR203W	S. cerevisiae	""	""
S000002628	YDR220C	S. cerevisiae	""	""
S000002638	YDR230W	S. cerevisiae	""	""
S000002649	YDR241W	S. cerevisiae	BUD26	BUD site selection
S000002658	YDR250C	S. cerevisiae	""	""
S000002677	YDR269C	S. cerevisiae	""	""
S000002679	YDR271C	S. cerevisiae	""	""
S000002698	YDR290W	S. cerevisiae	""	""
S000002735	YDR327W	S. cerevisiae	""	""
S000002748	YDR340W	S. cerevisiae	""	""
