S000000034	YAL036C	RBG1	RiBosome interacting Gtpase	FUN11|GTP-binding protein RBG1	Member of the DRG family of GTP-binding proteins	S. cerevisiae	ORF
S000000035	YAL037W	""	""	""	Putative protein of unknown function	S. cerevisiae	ORF
S000000036	YAL038W	CDC19	Cell Division Cycle	PYK1|pyruvate kinase CDC19	Pyruvate kinase	S. cerevisiae	ORF
S000000037	YAL039C	CYC3	CYtochrome C	CCHL|holocytochrome c synthase CYC3	Cytochrome c heme lyase (holocytochrome c synthase)	S. cerevisiae	ORF
S000000038	YAL040C	CLN3	CycLiN	cyclin CLN3|DAF1|FUN10|WHI1	G1 cyclin involved in cell cycle progression	S. cerevisiae	ORF
S000000039	YAL041W	CDC24	Cell Division Cycle	CLS4|Rho family guanine nucleotide exchange factor CDC24	Guanine nucleotide exchange factor (GEF) for Cdc42p	S. cerevisiae	ORF
S000000040	YAL042W	ERV46	ER Vesicle	FUN9	Protein localized to COPII-coated vesicles	S. cerevisiae	ORF
S000000041	YAL043C	PTA1	Pre-Trna Accumulation	FUN39|RNA-processing protein PTA1	Subunit of holo-CPF	S. cerevisiae	ORF
S000000042	YAL044C	GCV3	GlyCine cleaVage	glycine decarboxylase subunit H	H subunit of the mitochondrial glycine decarboxylase complex	S. cerevisiae	ORF
S000000044	YAL046C	BOL3	BolA-like protein	AIM1	Protein involved in Fe-S cluster transfer to mitochondrial clients	S. cerevisiae	ORF
S000000045	YAL047C	SPC72	Spindle Pole Component	gamma-tubulin complex subunit SPC72|LDB4	Gamma-tubulin small complex (gamma-TuSC) receptor	S. cerevisiae	ORF
S000000046	YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	Outer mitochondrial membrane GTPase, subunit of the ERMES complex	S. cerevisiae	ORF
S000000047	YAL049C	AIM2	Altered Inheritance rate of Mitochondria	protein AIM2	Cytoplasmic protein involved in mitochondrial function or organization	S. cerevisiae	ORF
S000000048	YAL051W	OAF1	Oleate-Activated transcription Factor	oleate-activated transcription factor OAF1|YAF1	Oleate-activated transcription factor	S. cerevisiae	ORF
S000000049	YAL053W	FLC2	FLavin Carrier	flavin adenine dinucleotide transporter FLC2|HUF2	Putative calcium channel involved in calcium release under hypotonic	S. cerevisiae	ORF
S000000050	YAL054C	ACS1	Acetyl CoA Synthetase	acetate--CoA ligase 1|FUN44	Acetyl-coA synthetase isoform	S. cerevisiae	ORF
S000000051	YAL055W	PEX22	PEroXisome related	ubiquitin-protein transferase activating protein PEX22|YAF5	Putative peroxisomal membrane protein	S. cerevisiae	ORF
S000000052	YAL056W	GPB2	""	KRH1	Multistep regulator of cAMP-PKA signaling	S. cerevisiae	ORF
S000000054	YAL058W	CNE1	CalNExin and calreticulin homolog	calnexin|FUN48	Calnexin	S. cerevisiae	ORF
S000000055	YAL059W	ECM1	ExtraCellular Mutant	""	Pre-ribosomal factor involved in 60S ribosomal protein subunit export	S. cerevisiae	ORF
S000000056	YAL060W	BDH1	Butanediol DeHydrogenase	BDH|(R,R)-butanediol dehydrogenase	NAD-dependent (R,R)-butanediol dehydrogenase	S. cerevisiae	ORF
S000000057	YAL061W	BDH2	""	putative dehydrogenase BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1	S. cerevisiae	ORF
S000000058	YAL062W	GDH3	Glutamate DeHydrogenase	FUN51|glutamate dehydrogenase (NADP(+)) GDH3	NADP(+)-dependent glutamate dehydrogenase	S. cerevisiae	ORF
S000000059	YAL063C	FLO9	FLOcculation	flocculin FLO9	Lectin-like protein with similarity to Flo1p	S. cerevisiae	ORF
S000000060	YAL064W	""	""	""	Protein of unknown function	S. cerevisiae	ORF
S000000062	YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance	putative permease SEO1	Putative permease	S. cerevisiae	ORF
S000000063	YAR002W	NUP60	NUclear Pore	FG-nucleoporin NUP60	FG-nucleoporin component of central core of the nuclear pore complex	S. cerevisiae	ORF
S000000064	YAR003W	SWD1	Set1c, WD40 repeat protein	COMPASS subunit protein SWD1|CPS50|FUN16|SAF49	Subunit of the COMPASS (Set1C) complex	S. cerevisiae	ORF
S000000065	YAR007C	RFA1	Replication Factor A	BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70	Subunit of heterotrimeric Replication Protein A (RPA)	S. cerevisiae	ORF
S000000066	YAR008W	SEN34	Splicing ENdonuclease	FUN4|tRNA splicing endonuclease subunit SEN34	Subunit of the tRNA splicing endonuclease	S. cerevisiae	ORF
S000000069	YAR014C	BUD14	BUD site selection	protein phosphatase regulator BUD14	Protein involved in bud-site selection	S. cerevisiae	ORF
S000000070	YAR015W	ADE1	ADEnine requiring	phosphoribosylaminoimidazolesuccinocarboxamide synthase	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase	S. cerevisiae	ORF
